kolom1	kolom2	kolom3
631qq	6utvsi691hhhn	6jdsat1aef
111mf	6d1sknhn28503	37lmvup1dg
2qiei	h6107is41ti2	3725tp5l8g
39iv4	69n2jmiknbn1f	5fugcdhh1b
4svpl	4tj2fslem9cdc	48d8nhf47u
5gl1r	3v717tfffs17i	30nt83siuk
2vo4j	1mqql6gh7ctqc	1mfgiequtu
1cfq1	4poftlcth1nhf	3agcj00atm
6383s	1tbr6tjcb0o1r	76p1q330hu
1okq8	4mcv96ja4k7sv	6enghtn34n
1n6pg	2498h0eeg9sj9	5740o8c79c
23s75	6ddshjd74hn8o	22fjue578a
1k8qh	73opkmj1crekh	7q4hvvp72d
6j0c8	7568sm7tfuu3j	62mhaknos1
25r75	1c740sr135fug	3fkush3vhd
4uq82	32oc1guvh589b	6brefqppqp
5hq7h	14m86rkm52rih	33facbsc59
5b05d	1t6nautlp51ul	1oq4v74gqq
dmluv	78ap49sjrmigo	13gskoimdj
6nvjl	3e6qjdii0jgk9	5etgir4cla
4rneq	5sic5dc05v1p1	5h2a6ipk9n
1rirr	690s85a4mdtlf	2fq2kqnnh4
4q4ps	5kdrnk7pk73a7	2ptlrll866
3g1il	1ckts31bgggu0	lhia23lo7u
4h604	1a5qhoooqls99	scjlvdschf
7f64l	3tl09odk2tn1q	sj2ek785d7
3j677	6tbi9roi6cgh7	pj4a1e2c1m
4tb52	86hji5u89ucs	7cikl4kmmn
4t6co	72i9t1vn2p3e4	19qskpq7j2
sfe8n	4isldj6l2gmi4	646kdnjim5
2aovl	7qtnh20878too	7sp859t8q7
28s0r	18m4uc9agf852	2v8cluau5m
39efd	40vvvl8rclo41	sp9qd6m74i
11i2o	2jo03dbi0ii5e	1ua4qmg8l2
amptd	59vepuf6lb80k	gtfodf6hbh
10alr	3jgr4mls0t7r8	3d68l35vdd
41mfi	55id9ovjqp0l9	4kkd1015fr
6lnev	1kg96b8105c7f	1iaa6mblqb
3f74f	44fjht1kq5tba	3r14moubgt
jch6o	1ckuqt6mmd8vc	11sc42vgjl
154sg	5ri9hs2kbiv6e	2ba7k4alrb
2bia9	3td86d7vhk6ch	1vc9pls31g
