kolom1	kolom2	kolom3
6qhhf	4ct4trsqhr9ip	5qu8ipqqhp
3i0p8	7s402vsue9i3o	4itlfhaeae
13pdd	6jprvdgbd7eg9	3f9ekav3ge
468r9	6nk5a6f8qmein	18q4sjjoji
1p3va	631ef4k17eot9	4gp7j08r8r
3ivij	43ffkhavc5q3j	5o8460dcd3
60k40	1ul9gicp3k24q	3ktq3b7c6e
44m1j	2c90iu8tl3ep4	nbphaeomjq
5mqfc	3e58uujc276q	2b675v76l1
7h37i	5ggagnrvufb0e	68e9hgus2b
5f62m	pb0ep1jfcshs	5r60dlvlk2
4tnlg	5bcrdt7h4boqu	2cv3q9qtjd
7rg6v	6lpq1hgs7gosj	4uqbvbrb2u
4eern	6vrln02295cqn	61ofubvb7v
1s7pm	5mvvcmrlno8h6	56sv1g5im1
r52ns	6idap672brabi	786vg8e785
uusga	4hrcm6hsr6epg	5miqovb9h8
5dv7l	6o2k2vuoc7mv	5ade7dhaio
vlh28	47v50a5n1j14r	4q2rgj6mfj
23kd2	4f3arp4g887o7	i600u05srl
1mekj	768fgf6lh4mll	5oegb0rpkf
5q21q	3fj1hqbi4trav	42hl9lqjhs
6mr2v	5uqo14bph9v2p	66rs9ebo40
7cuoh	10cd8059c3pj7	7ff08pqvn6
29a6k	7cjglkemeprla	7jb1cnn8sv
1ra7c	7kkm0l0k7pj97	22ci16u2tm
6heue	3ohm05bkunshl	3r269vleaj
1b0id	6ctau3epa9ngp	6ifgf9bbp6
4jqbg	6atdqlpmo9d00	25b6rn1lak
4n7i9	j20noo9guc8g	63pci1auod
6edul	4cm5svsb2g0rv	46lmh3u57v
311n8	6c9timt89alul	22rrlke21t
7grg7	3u5vf8kf961i9	36akmchmbt
mvful	5tcjvlfm5slgg	lm7i0474ol
5idqp	nml7f55gr7r7	3a86dp18jc
48n31	n7l91uv95sf2	183seanm16
2fegl	3nvb3auq341of	70nkuc9uku
5chh0	4ga1gletqi88d	22hk4ssgs5
71nda	7s8bpnmjm8b9d	66cdhd9e6a
4pb2q	1ient4809topu	2gtkld91v6
4cfos	2gk94pkt0sadi	2iq88ipouc
1i0pi	1tmrl8650kq2u	2eupqp2nfn
2leie	3qbl4m74hjkhv	76m0esngfm
115r0	2o7cftg0ckll2	19snv35cpj
1jl41	4v3v74jv98uuv	3ckv52rr2r
4vkc7	71b8n8ngntk7u	22tmsoado2
7j6d8	13scf0dj7nbhd	a3tfee76qh
2lhem	4b5e44858qeuo	7khlahj7bo
4u906	pgug9i9jtpv7	6pfhrge9uf
2t184	6qk8c6tot400t	5udp1l90h6
7oqso	2vjmamks3jsf4	6hhcjspmnu
28cnr	43vbb2fgebhn3	m79d7j479o
7vm47	1lljcdc1rl72g	mfqb5rb7ag
704fi	4jv7vul37hmfm	6gr7spknha
6h80p	5dbdungq8u94f	441kck9tts
53826	7p7su21j6l7s1	1gqr3b41au
1h0fm	3063r6lkf5v1j	6b4mmkad99
6s5cp	1kcrivdm3gss	7jfj0265pf
