kolom1	kolom2	kolom3
28blr	1mnm1ddj912as	11vh0kj689
4892i	17ctgujtu5989	2sac5n3qrv
55j6s	4qiasj1h9pqam	19faoepep9
2qakt	3dl07as0r7lm5	77s2lboahu
6s9pk	2cht2sbgo0tj8	4knnt9dgm8
44opg	7c23kuitet46o	2s51vnvael
685bc	1l5vt8acuda6l	5dskhvk1sm
258sr	2fe5742mgfvik	3ffps1h7hp
5m3k0	4esb868nk5dot	2t6l7af86d
6ka72	6tj5pi4a7kcmc	49a1062etb
53c42	64nuo1r7h8qop	1ogacov0vh
57ih0	am0mie9rpb6h	13b4n60bu8
6alu6	10mjdkbb2sf4l	5cuc7lpdtq
p0pqn	4m4s7r9sa4hh5	40uop2vlgj
46gte	7hp4vejnlnoi3	2afse35d2n
39oci	5amo3622e62bl	6hffo0rvrp
796al	3r0aq8pc26a4b	3hllb65m5h
1csf0	2lp3gqk4umr52	1dtflg5v79
4tcft	2ttqmggh0bli3	7v878dcuvd
50ics	59tr2f1p9fpr5	5eoie1eajp
6mkot	6l7jk8jnbj1si	3kuuj3pd3b
oqcq8	70hh1mrc5vokv	519ve617c3
t9gkn	3bf8p6li2jf7u	3l1ulkv8j7
2ov5l	1qsbmq99ljv5g	2cf11uulq1
498m8	425jprtmtdnq3	319o1lraap
6ooko	6res31un70q1t	6n3koct64n
1ug6f	3b8g0apaoo3pi	ccvssceqh9
fi108	2o77pb9m18074	36qblceqt4
9g3ig	6v1lp504av0lc	645nf30ob8
3smss	2fvp6k3bdao9n	3eggv2ejkm
2ed6e	28qkrqftd4epd	4gth7i7kjb
5vti1	7lfrutgopfr1t	2o7npalfe3
47ae4	mnq98gdggkgf	4n0c1j807n
58abh	m8h1pih0s826	17bojtplto
3hahe	1jh4upvgmfudf	p2s36l1o15
7ekit	2dopgtmh4e4pe	3jpuj4ht0g
30l0o	5d17ib399vepo	498fcq6c60
7dfli	42807ik3gae33	7hmbutos8t
2ntfn	2aopiofpcupuu	7icc05nuc6
6luo7	78u113ntlgkvd	6008hkfuoi
7l4pm	4ja5inrvn1gq4	j59humuer5
7ubds	42aaf98nm7un6	2f0jsl8ai6
59qqm	1851j033phdi2	6vjrbmrvsg
3gsm8	12chr2ut8rb28	5veksv9hs8
35n7q	435icml0pai7r	5v9pmar76g
75p28	74sa6lh9htdi3	32bni37kmo
59vdm	3umdifu4eg3nk	r15i94sbt2
2m8oc	2cda279hajgej	4641hhsb2u
1dav8	1ilqptsn1it7k	4n79m38coh
3bltq	5l0q56t0j9ojf	7jma1nq71m
6lb2h	6tgi5mg1hjchm	2tpbgadbob
1bgmo	nfbvlt8jtbc5	13n68a8cdq
2l2lq	6ukhlhts33ihu	2v4b2agu53
1ogoa	4eguumrnrtu2p	5j2qfdtp9n
7t0vp	68pev1l6ufug6	dt3qtpaafr
4p8rr	57r0672mo3oeu	6noufk2r3j
3kv72	7pc861l8itns8	6b09a9vcnv
4aou5	16kfl323noodi	3vrci3nini
3na7v	2nh9nes68pdsh	7uqmpbhbp8
18nvs	qu5qj779ivda	1sqaqb5mfb
182v7	4fnhcplsr6etm	2n2jpdbh2o
6d9qq	6osk4be4d5r1f	7eshcn4umo
13o6g	2o4re4ql5nvma	2n9qej87gh
2unmp	3ssfm3igqj05c	3ifotgl8f3
7nds0	4pl9ub6jnte0n	cipdr4s46h
3ecn2	6neo0d3757acj	21b96urg73
4us30	54f4giqmsvv8v	5l5r3t4o61
2gja3	78igs1fue9hal	77hi80ba3h
578hi	3umpjkdo1bv38	6epa9d1r3m
5tp7u	3pfj9nd3g29l4	3ijbqpmtnc
1gult	1l6n01utq0ue3	6t1k8o7ctb
751ui	t1c20are78v9	57c4ni60fs
2j437	390asbdgi5eeu	18dk733gs3
7v4o2	59jg1e42i5jg0	2v99n1d3hp
24dl1	1vsah40eo0dj7	1b804gnhqo
10940	24u0t0d0giahr	3s7vlt6ud8
79m96	7hiacetji1il0	2huer0s1rd
5ojot	6ameapu3ra2sn	1mmpks3ult
2h7g4	4raksc35gc938	mjsno0u7ne
3oeju	662dl1lkis668	5ufiq6396i
oplb4	63t569m0bqnlp	1o9tmca6tg
7pd84	7j0738bn2jfum	2cueikbf7u
4ci08	1nsi0s4dmd8tj	3h0kl488dk
1rffk	13llc3b1od1ir	2gmne637gc
