kolom1	kolom2	kolom3
428la	2adqht2phmeda	5i2ff9305h
1pb9q	2voi40k917trc	1frpotmnq9
10gti	2chjbb0r7gbil	1posj1ijk3
27rfo	1n587ooe44vct	32mijnr8al
50u2g	48cn4cdoo3kfm	7oo1es8p8b
1puca	3kl2pbhnpsfmf	4a1hul66v2
307rq	in9jgt6dlbsk	7alejl1d7r
3c9lm	73bkfs446cbjc	1q0sn3cfvt
14ipl	36crlvbb69jjc	49e9lmglq2
6d1b8	588evd3hgcso2	5rn4ef0f10
662fh	2v05cq8s04d09	34g3c3ptfv
3seoc	25bkgkpjqlq43	65qvs8tia2
4ob7u	241i3anb0i4q1	3hqk61ptur
25mr1	6n80bsbb1tk1p	1sdfnm44il
e4e8a	4nrgmdls251jg	2mcr1ufpub
293cb	6dbq3frdj8ig0	i9b3teb0rt
5prtb	3h8sei7pvnl2q	669p6r27lf
7354n	2pa83mkhq854o	2k72pgq4t2
7dknh	3ka18f4mf481g	9390tqn6op
56j3r	n6j68va95qna	10vqukv7kp
2fuop	5e39m6idq2efb	4t19oj0sod
1up4h	235olrg1qk2t7	6ff19045j1
69jpl	2hfeppbsi4rvt	1v2qnpsmtr
1jd3c	3cm29vi1os53n	1sdbjum2j4
unusp	3plh0r6ak76ep	38m97rm76q
429no	3v6vrmko9l3dp	6b3jqm6gpd
6vk7o	71mdc3tb1gqfb	1psel5sh5m
6qi7h	6pqca19tjc9eb	5c8sk02pbo
7ebg6	3849rqp5anjku	4bputrc2lo
1afjq	6r44mj8ksjh1c	4m7hl8esi4
6frrb	2bk83tm2mpi84	3si09lfu9p
10ftj	7b80bh8ould46	41svrqbh38
7bdq1	36o4edtam9jkt	556keagqte
3q6o7	42904ffqcig53	5qf2ag9to0
2ej3a	5ifmq1u03oc00	3mfg20ijpe
1o7c2	2dkd6jehkefvv	77sfiuvbpf
50150	7vj4lt4cp1sib	280hshp9s9
41fho	6uom5j0knii2b	3l8e5rbfkk
cnsju	29lvd3ovoq57j	4ne885ob1h
3ptn8	7pkehibj1lk2a	2rmn0vs0f2
4ocjo	2t9eepne97seh	5omhonkpjh
